team_id,season_id,conference,rank,coach,PTS/G,OppPTS/G,SRS,Pace,ORtg,DRtg,NetRtg,championship_odds,attendace_total,wins,losses
12,3,Eastern Conference,11,Rick Carlisle,116.3,119.5,2.90,101.1,114.6,117.7,3.1,+50000,641562,35,47
12,4,Eastern Conference,13,Rick Carlisle,111.5,114.9,3.26,98.0,112.6,116.1,3.5,+10000,588743,25,57
12,5,Eastern Conference,9,Nate Bjorkgren,115.3,115.3,0.12,101.6,112.4,112.4,0.0,+10000,0,34,38
12,6,Eastern Conference,4,Nate McMillan,109.4,107.5,1.63,98.9,110.0,108.0,2.0,+5000,529002,45,28
12,7,Eastern Conference,5,Nate McMillan,108.0,104.7,2.76,98.1,109.9,106.5,3.4,+12500,689310,48,34
13,1,Western Conference,5,Tyronn Lue,112.9,108.2,4.84,97.5,115.1,110.3,4.7,+12500,679593,50,32
13,2,Western Conference,4,Tyronn Lue,115.6,112.3,3.41,97.2,118.8,115.4,3.4,+2200,776782,51,31
13,3,Western Conference,5,Tyronn Lue,113.6,113.1,0.31,98.0,115.0,114.5,0.5,+700,720543,44,38
13,4,Western Conference,8,Tyronn Lue,108.4,108.4,0.09,98.0,110.1,110.1,0.0,+1600,694005,42,40
13,5,Western Conference,4,Tyronn Lue,114.0,107.8,6.02,96.9,117.6,111.2,6.4,+650,13901,47,25
13,6,Western Conference,2,Doc Rivers,116.3,109.9,6.66,101.5,113.9,107.6,6.3,+425,610176,49,23
13,7,Western Conference,8,Doc Rivers,115.1,114.3,1.09,101.7,112.4,111.5,0.8,+40000,710327,48,34
14,1,Western Conference,3,JJ Redick,113.4,112.2,1.45,97.6,115.9,114.7,1.2,+4000,767626,50,32
14,2,Western Conference,8,Darvin Ham,118.0,117.4,1.07,100.9,115.9,115.3,0.6,+1500,793945,47,35
14,3,Western Conference,7,Darvin Ham,117.2,116.6,0.43,101.3,114.5,113.9,0.6,+1800,763168,43,39
14,4,Western Conference,11,Frank Vogel,112.1,115.1,3.08,100.1,110.3,113.3,3.0,+400,764631,33,49
14,5,Western Conference,7,Frank Vogel,109.5,106.8,2.77,98.7,109.9,107.1,2.8,+275,23313,42,30
14,6,Western Conference,1,Frank Vogel,113.4,107.6,6.28,100.9,112.0,106.3,5.7,+450,588907,52,19
14,7,Western Conference,10,Luke Walton,111.8,113.5,1.33,103.2,107.8,109.5,1.7,+1800,778877,37,45
15,1,Western Conference,8,Taylor Jenkins,121.7,116.9,4.79,103.3,117.7,113.0,4.7,+3500,683067,48,34
15,2,Western Conference,13,Taylor Jenkins,105.8,112.8,6.57,98.2,107.2,114.3,7.1,+2200,681875,27,55
15,3,Western Conference,2,Taylor Jenkins,116.9,113.0,3.60,101.1,115.1,111.2,3.9,+2000,707836,51,31
15,4,Western Conference,2,Taylor Jenkins,115.6,109.9,5.37,100.3,114.6,109.0,5.6,+10000,646785,56,26
15,5,Western Conference,9,Taylor Jenkins,113.3,112.3,1.07,100.4,112.0,111.0,1.0,+15000,61449,38,34
15,6,Western Conference,9,Taylor Jenkins,112.6,113.7,0.91,102.8,109.2,110.3,1.0,+100000,523297,34,39
15,7,Western Conference,12,Bickerstaff,103.5,106.1,2.08,96.6,106.1,108.8,2.7,+65000,638332,33,49
16,1,Eastern Conference,10,Erik Spoelstra,110.6,110.0,0.11,96.2,113.5,112.9,0.6,+5000,808337,37,45
16,2,Eastern Conference,8,Erik Spoelstra,110.1,108.4,1.10,96.2,114.0,112.2,1.8,+1600,809743,46,36
16,3,Eastern Conference,7,Erik Spoelstra,109.5,109.8,0.13,96.3,113.0,113.3,0.3,+1600,807190,44,38
16,4,Eastern Conference,1,Erik Spoelstra,110.0,105.6,4.23,95.9,113.7,109.1,4.6,+2500,804761,53,29
16,5,Eastern Conference,6,Erik Spoelstra,108.1,108.0,0.06,96.6,111.2,111.2,0.0,+1800,0,40,32
16,6,Eastern Conference,5,Erik Spoelstra,112.0,109.1,2.59,98.3,112.5,109.5,3.0,+6000,629771,44,29
16,7,Eastern Conference,10,Erik Spoelstra,105.7,105.9,0.45,98.2,107.3,107.6,0.2,+35000,805264,39,43
17,1,Eastern Conference,5,Doc Rivers,115.5,113.0,2.12,99.3,115.9,113.4,2.5,+1400,732014,48,34
17,2,Eastern Conference,3,Adrian Griffin,119.0,116.4,2.44,99.9,118.4,115.8,2.6,+600,740850,49,33
17,3,Eastern Conference,1,Mike Budenholzer,116.9,113.3,3.61,100.5,115.4,111.9,3.6,+650,718786,58,24
17,4,Eastern Conference,3,Mike Budenholzer,115.5,112.1,3.22,99.9,115.1,111.8,3.3,+900,715581,51,31
17,5,Eastern Conference,3,Mike Budenholzer,120.1,114.2,5.57,102.2,117.2,111.4,5.7,+550,64780,46,26
17,6,Eastern Conference,1,Mike Budenholzer,118.7,108.6,9.41,105.1,112.4,102.9,9.5,+550,549036,56,17
17,7,Eastern Conference,1,Mike Budenholzer,118.1,109.3,8.04,103.3,113.8,105.2,8.5,+10000,721692,60,22
18,1,Western Conference,6,Chris Finch,114.3,109.3,5.15,97.3,116.6,111.5,5.1,+1100,772249,49,33
18,2,Western Conference,3,Chris Finch,113.0,106.5,6.38,97.1,115.6,109.0,6.6,+6600,738984,56,26
18,3,Western Conference,8,Chris Finch,115.8,115.8,0.22,101.0,113.7,113.8,0.0,+2800,687510,42,40
18,4,Western Conference,7,Chris Finch,115.9,113.3,2.53,100.9,114.3,111.7,2.6,+25000,657148,46,36
18,5,Western Conference,13,Ryan Saunders,112.1,117.7,5.25,101.6,109.5,115.0,5.4,+20000,15774,23,49
18,6,Western Conference,14,Ryan Saunders,113.2,117.5,4.01,103.4,108.1,112.2,4.1,+50000,482112,19,45
18,7,Western Conference,11,Tom Thibodeau,112.5,114.0,1.02,100.2,111.4,112.9,1.5,+25000,627543,36,46
19,1,Western Conference,14,Willie Green,109.8,119.3,8.59,99.1,110.4,119.9,9.5,+5000,689400,21,61
19,2,Western Conference,7,Willie Green,115.1,110.7,4.46,97.9,117.4,112.9,4.5,+4000,692054,49,33
19,3,Western Conference,9,Willie Green,114.4,112.5,1.63,99.1,114.4,112.5,1.9,+4000,687691,42,40
19,4,Western Conference,9,Willie Green,109.3,110.3,0.84,97.2,112.0,113.0,1.0,+10000,635941,36,46
19,5,Western Conference,11,Van Gundy,114.6,114.9,0.20,100.1,113.5,113.8,0.3,+6500,93120,31,41
19,6,Western Conference,13,Alvin Gentry,115.8,117.1,0.55,103.7,110.7,111.9,1.2,+12500,528172,30,42
19,7,Western Conference,13,Alvin Gentry,115.4,116.8,1.10,103.3,111.4,112.6,1.3,+10000,656183,33,49
20,1,Eastern Conference,3,Tom Thibodeau,115.8,111.7,3.59,96.7,118.5,114.3,4.2,+700,811794,51,31
20,2,Eastern Conference,2,Tom Thibodeau,112.8,108.2,4.36,95.2,118.2,113.4,4.8,+5000,808885,50,32
20,3,Eastern Conference,5,Tom Thibodeau,116.0,113.1,2.99,97.1,117.8,114.8,3.0,+6600,795110,47,35
20,4,Eastern Conference,11,Tom Thibodeau,106.5,106.6,0.01,95.9,110.4,110.5,0.1,+8000,763484,37,45
20,5,Eastern Conference,4,Tom Thibodeau,107.0,104.7,2.13,95.9,110.6,108.2,2.4,+50000,42131,41,31
20,6,Eastern Conference,12,David Fizdale,105.8,112.3,6.72,98.6,106.5,113.0,6.5,+100000,620789,21,45
20,7,Eastern Conference,15,David Fizdale,104.6,113.8,8.93,99.6,104.5,113.7,9.2,+35000,779087,17,65
21,1,Western Conference,1,Mark Daigneault,120.5,107.6,12.70,100.0,120.3,107.5,12.8,+675,754832,68,14
21,2,Western Conference,1,Mark Daigneault,120.1,112.7,7.36,99.8,119.5,112.1,7.4,+10000,715509,57,25
21,3,Western Conference,10,Mark Daigneault,117.5,116.4,0.96,101.1,115.2,114.2,1.1,+50000,636903,40,42
21,4,Western Conference,14,Mark Daigneault,103.7,111.8,7.90,98.6,104.6,112.8,8.2,+50000,595112,24,58
21,5,Western Conference,14,Mark Daigneault,105.0,115.6,10.13,101.0,103.5,114.0,10.5,+20000,0,22,50
21,6,Western Conference,5,Billy Donovan,110.4,108.4,2.33,98.8,110.8,108.8,2.0,+25000,600699,44,28
21,7,Western Conference,6,Billy Donovan,114.5,111.1,3.56,102.8,110.3,107.0,3.3,+3800,746323,49,33
22,1,Eastern Conference,7,Jamahl Mosley,105.4,105.5,0.70,96.1,109.4,109.6,0.1,+4000,762121,41,41
22,2,Eastern Conference,5,Jamahl Mosley,110.5,108.4,1.48,96.9,113.4,111.3,2.1,+25000,773939,47,35
22,3,Eastern Conference,13,Jamahl Mosley,111.4,114.0,2.39,99.3,111.6,114.2,2.6,+50000,728405,34,48
22,4,Eastern Conference,15,Jamahl Mosley,104.2,112.2,7.67,99.2,104.5,112.5,8.0,+50000,622881,22,60
22,5,Eastern Conference,14,Steve Clifford,104.0,113.3,9.02,98.7,105.1,114.5,9.4,+20000,126463,21,51
22,6,Eastern Conference,8,Steve Clifford,107.3,108.3,0.93,98.6,108.5,109.5,1.0,+20000,529870,33,40
22,7,Eastern Conference,7,Steve Clifford,107.3,106.6,0.28,98.1,108.9,108.1,0.7,+75000,720024,42,40
23,1,Eastern Conference,13,Nick Nurse,109.6,115.8,6.29,97.4,111.9,118.2,6.4,+1000,813621,24,58
23,2,Eastern Conference,7,Nick Nurse,114.6,111.5,2.51,97.5,116.9,113.8,3.1,+1800,821714,47,35
