Season_id,Rank,Player_id,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
6,1,849,25,MIL,85,962,1010,0.952,63,30.4,29.5,13.6,5.6,1.0,1.0,0.553,0.304,0.633,11.1,0.279,antetgi01
6,2,755,35,LAL,16,753,1010,0.746,67,34.6,25.3,7.8,10.2,1.2,0.5,0.493,0.348,0.693,9.8,0.204,jamesle01
6,3,209,30,HOU,0,367,1010,0.363,68,36.5,34.3,6.6,7.5,1.8,0.9,0.444,0.355,0.865,13.1,0.254,hardeja01
6,4,1177,20,DAL,0,200,1010,0.198,61,33.6,28.8,9.4,8.8,1.0,0.2,0.463,0.316,0.758,8.8,0.207,doncilu01
6,5,726,28,LAC,0,168,1010,0.166,57,32.4,27.1,7.1,4.9,1.8,0.6,0.47,0.378,0.886,8.7,0.226,leonaka01
6,6,428,26,LAL,0,82,1010,0.081,62,34.4,26.1,9.3,3.2,1.5,2.3,0.503,0.33,0.846,11.1,0.25,davisan02
6,7,604,34,OKC,0,26,1010,0.026,70,31.5,17.6,5.0,6.7,1.6,0.2,0.489,0.365,0.907,8.9,0.193,paulch01
6,8,854,29,POR,0,23,1010,0.023,66,37.5,30.0,4.3,8.0,1.1,0.3,0.463,0.401,0.888,11.6,0.225,lillada01
6,9,1178,24,DEN,0,18,1010,0.018,73,32.0,19.9,9.7,7.0,1.2,0.6,0.528,0.314,0.817,9.8,0.202,jokicni01
6,10,695,25,TOR,0,17,1010,0.017,60,35.2,22.9,7.3,3.5,1.0,0.9,0.453,0.359,0.792,5.4,0.123,siakapa01
6,11,586,30,MIA,0,9,1010,0.009,58,33.8,19.9,6.7,6.0,1.8,0.6,0.455,0.244,0.834,9.0,0.221,butleji01
6,12,103,21,BOS,0,1,1010,0.001,66,34.3,23.4,7.0,3.0,1.4,0.9,0.45,0.403,0.812,6.9,0.146,tatumja01
5,1,1178,25,DEN,91,971,1010,0.961,72,34.6,26.4,10.8,8.3,1.3,0.7,0.566,0.388,0.868,15.6,0.301,jokicni01
5,2,1020,26,PHI,1,586,1010,0.58,51,31.1,28.5,10.6,2.8,1.0,1.4,0.513,0.377,0.859,8.8,0.266,embiijo01
5,3,588,32,GSW,5,453,1010,0.449,63,34.2,32.0,5.5,5.8,1.2,0.1,0.482,0.421,0.916,9.0,0.201,curryst01
5,4,849,26,MIL,1,348,1010,0.345,61,33.0,28.1,11.0,5.9,1.2,1.2,0.569,0.303,0.685,10.2,0.244,antetgi01
5,5,604,35,PHO,2,139,1010,0.138,70,31.4,16.4,4.5,8.9,1.4,0.3,0.499,0.395,0.934,9.2,0.201,paulch01
5,6,1177,21,DAL,0,42,1010,0.042,66,34.3,27.7,8.0,8.6,1.0,0.5,0.479,0.35,0.73,7.7,0.163,doncilu01
5,7,854,30,POR,0,38,1010,0.038,67,35.8,28.8,4.2,7.5,0.9,0.3,0.451,0.391,0.928,10.4,0.209,lillada01
5,8,889,26,NYK,0,20,1010,0.02,71,37.6,24.1,10.2,6.0,0.9,0.3,0.456,0.411,0.811,7.8,0.14,randlju01
5,9,573,32,TOT,1,10,1010,0.01,50,25.6,14.7,2.6,4.2,1.0,0.4,0.47,0.388,0.866,3.1,0.118,rosede01
5,10,885,28,UTA,0,8,1010,0.008,71,30.8,14.3,13.5,1.3,0.6,2.7,0.675,0.0,0.623,11.3,0.248,goberru01
